iteration,isolation,commit_hint_first,thread_a_committed,thread_b_committed,thread_a_error,thread_b_error,invariant_ok,invariant_detail
24,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=bb958e44-e481-4cb7-b559-5f54cc4be6a7, reason=kind_outranked -- payload={""value"": ""INFERRED_iter24"", ""writer"": ""kndb_native"", ""fact_id"": ""13832417-81fe-4541-be7d-47cfcc1f8ae2"", ""provsql"": ""57834406-cc3f-49f0-9f85-9b516fb82461"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.460999-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000024, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
25,READ COMMITTED,A,1,1,,,1,
26,READ COMMITTED,A,1,1,,,1,
27,READ COMMITTED,A,1,1,,,1,
28,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=e5a383dc-8e91-45b3-a122-0fed46387348, reason=kind_outranked -- payload={""value"": ""INFERRED_iter28"", ""writer"": ""kndb_native"", ""fact_id"": ""5e822bdf-b26b-466a-82e8-ae45699bf3f6"", ""provsql"": ""e378b98f-42f2-4c09-b817-d7e71547611e"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.495773-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000028, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
29,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=a7b811d8-cef0-43e1-9ea3-a470095f283a, reason=kind_outranked -- payload={""value"": ""INFERRED_iter29"", ""writer"": ""kndb_native"", ""fact_id"": ""654fe005-07df-48d6-b114-0d33d8317e12"", ""provsql"": ""ef8c9eb2-efde-46e3-b9df-26d67c7e1233"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.503709-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000029, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
30,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=c4f1d508-8a50-4ada-97eb-ec17621f0811, reason=kind_outranked -- payload={""value"": ""INFERRED_iter30"", ""writer"": ""kndb_native"", ""fact_id"": ""05cb8af7-46c3-4a8a-afe4-fc0ebf0cdab9"", ""provsql"": ""50e488de-e887-49fa-97be-4c996007d6be"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.512043-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000030, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
31,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=7c579767-cf73-42a4-b0e0-952bce1d71e6, reason=kind_outranked -- payload={""value"": ""INFERRED_iter31"", ""writer"": ""kndb_native"", ""fact_id"": ""ae641a86-46e3-4956-bc5d-d6b089d6eb97"", ""provsql"": ""3532e0a9-d19d-4b0f-9aa6-7c7e5f268596"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.520595-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000031, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
32,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=2e9933ea-d109-46fb-b46e-6496bd8af4f4, reason=kind_outranked -- payload={""value"": ""INFERRED_iter32"", ""writer"": ""kndb_native"", ""fact_id"": ""85994c67-be6c-4ba6-9543-c180551b8520"", ""provsql"": ""b3f73340-8a3f-49b7-b877-087eb2f285bf"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.52896-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000032, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
33,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=84056cb1-e641-4ffe-a147-8114011882e0, reason=kind_outranked -- payload={""value"": ""INFERRED_iter33"", ""writer"": ""kndb_native"", ""fact_id"": ""348b9d02-889c-4a02-ab30-7301558c4664"", ""provsql"": ""846914dc-d234-46d6-83bd-5e051c2e569f"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.537257-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000033, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
34,READ COMMITTED,A,1,1,,,1,
35,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=335f7f93-472a-4d07-afb5-dcf78161cc37, reason=kind_outranked -- payload={""value"": ""INFERRED_iter35"", ""writer"": ""kndb_native"", ""fact_id"": ""e98a6c4d-cc91-4847-a21b-9a4e1eced00b"", ""provsql"": ""8648bd1c-8611-42c3-95fe-8c29eb74801e"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.555063-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000035, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
36,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=5c24cfaf-2f9c-41dd-b30d-e89a45f1f3d7, reason=kind_outranked -- payload={""value"": ""INFERRED_iter36"", ""writer"": ""kndb_native"", ""fact_id"": ""978d2e7b-f24f-42bf-b73f-e77b32187994"", ""provsql"": ""c04bc997-53e3-4cac-ae2f-d70a51b94052"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.56399-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000036, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
37,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=3679cd5c-a7e0-40ef-ab22-173874514166, reason=kind_outranked -- payload={""value"": ""INFERRED_iter37"", ""writer"": ""kndb_native"", ""fact_id"": ""928e6973-9f30-482b-9406-39021776c749"", ""provsql"": ""00105a96-1cc2-4aea-8a29-d1eeb14575b0"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.572788-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000037, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
38,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=04b79cc4-2923-4717-b164-0933c9d251af, reason=kind_outranked -- payload={""value"": ""INFERRED_iter38"", ""writer"": ""kndb_native"", ""fact_id"": ""8caf5e61-3ab2-4077-8cbb-d8f5e56a21b4"", ""provsql"": ""8e08c4c8-4df9-4e9c-9611-9809e5863044"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.581187-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000038, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
39,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=b7117e6d-c313-414a-bdb6-38a7125971c2, reason=kind_outranked -- payload={""value"": ""INFERRED_iter39"", ""writer"": ""kndb_native"", ""fact_id"": ""4433ae99-d3dd-45f3-bf44-5904af557f48"", ""provsql"": ""96bb2f77-f4cd-4412-8b4e-6a00109e9797"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.58923-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000039, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
40,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=d245d89a-0e10-42d0-a922-4ae34dad60b7, reason=kind_outranked -- payload={""value"": ""INFERRED_iter40"", ""writer"": ""kndb_native"", ""fact_id"": ""f7cff280-036f-466b-931f-61dae25d0f34"", ""provsql"": ""6e66b873-f848-4908-a177-0d6d2ffda2a9"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.597333-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000040, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
41,READ COMMITTED,A,1,1,,,1,
42,READ COMMITTED,A,1,1,,,1,
43,READ COMMITTED,A,1,1,,,1,
44,READ COMMITTED,A,1,1,,,1,
45,READ COMMITTED,A,1,1,,,1,
46,READ COMMITTED,A,1,1,,,1,
47,READ COMMITTED,A,1,1,,,1,
48,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=e3b2c392-d537-47af-b21e-99d87ddef068, reason=kind_outranked -- payload={""value"": ""INFERRED_iter48"", ""writer"": ""kndb_native"", ""fact_id"": ""d1a2cf5f-ddb5-41e3-8e47-c88070258e44"", ""provsql"": ""f8932fc4-5d37-4236-a8d9-88c9c7364aa9"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.665007-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000048, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
49,READ COMMITTED,A,1,1,,,1,
50,READ COMMITTED,A,1,1,,,1,
51,READ COMMITTED,A,1,1,,,1,
52,READ COMMITTED,A,1,1,,,1,
53,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=61997306-01d8-4ff2-a097-fbf331be5c49, reason=kind_outranked -- payload={""value"": ""INFERRED_iter53"", ""writer"": ""kndb_native"", ""fact_id"": ""0799f7b4-ea71-4d4f-82b0-0a0e2043bad0"", ""provsql"": ""6071111d-6842-4afa-b544-586343b53033"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.708316-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000053, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
54,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=e4a48a35-d277-4bdd-9509-752de1e360c1, reason=kind_outranked -- payload={""value"": ""INFERRED_iter54"", ""writer"": ""kndb_native"", ""fact_id"": ""9b8362df-9b54-421f-9b81-1b19ea0fcf9a"", ""provsql"": ""9899668f-0950-4d98-9cba-2acc4c7fc4b3"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.716922-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000054, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
55,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=14f44ba2-70c1-427a-97db-fbfa77e8e762, reason=kind_outranked -- payload={""value"": ""INFERRED_iter55"", ""writer"": ""kndb_native"", ""fact_id"": ""8edc0027-c683-4aea-bbf5-4fe46bfd71bd"", ""provsql"": ""605c1050-948f-4a2e-8a59-ad0b4cacfbfb"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.725668-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000055, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
56,READ COMMITTED,A,1,1,,,1,
57,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=2e3fd784-9b76-4dde-ae66-573f8b3fc44b, reason=kind_outranked -- payload={""value"": ""INFERRED_iter57"", ""writer"": ""kndb_native"", ""fact_id"": ""0bfeca8a-640e-41f8-8145-252a0b6bc6b7"", ""provsql"": ""366828e0-c035-4faa-906d-da10c88e343f"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.74249-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000057, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
58,READ COMMITTED,A,1,1,,,1,
59,READ COMMITTED,A,1,1,,,1,
60,READ COMMITTED,B,0,1,"CheckViolation: KNDB precedence: NEW outranked by fact_id=c897d010-5802-4739-9ddf-97bfbaa5602d, reason=kind_outranked -- payload={""value"": ""INFERRED_iter60"", ""writer"": ""kndb_native"", ""fact_id"": ""4841f0ac-e2e4-4bfa-86f9-d3d63e189d00"", ""provsql"": ""946a632f-4250-4e76-b19c-dda1cb6e81f5"", ""sources"": [], ""sys_time"": ""[\""2026-07-09 02:38:18.769256-05\"",infinity)"", ""attribute"": ""s2_slot"", ""entity_id"": 32000060, ""confidence"": 0.97000, ""valid_time"": ""[\""2025-12-31 18:00:00-06\"",\""2026-06-29 19:00:00-05\"")"", ""specificity"": 100, ""epistemic_kind"": ""INFERRED""}
HINT:  Incoming fact lost the precedence lattice against an existing overlapping fact.
CONTEXT:  PL/pgSQL function kndb.resolve_conflict() line 91 at RAISE",,1,
